time hours since 1900-01-01 00:00:00.0,u10 m s**-1,v10 m s**-1,msl Pa,Distance Weight,surge 
973050,4.228953362,-8.4004881,102068.0941,0.228715459,-0.24371
973050,2.897650419,-1.052066925,101827.9481,0.179782517,-0.24371
973050,3.467618794,-4.636130676,102165.5027,0.102612387,-0.24371
973050,2.199645671,-2.452250857,101715.3496,0.067415409,-0.24371
973050,3.760863392,-1.399568441,102055.0741,0.056911339,-0.24371
973050,3.435953884,-1.66855497,102123.5495,0.042484737,-0.24371
973050,3.360233448,-9.501151897,102001.7887,0,-0.24371
973056,2.210659552,-2.074215735,101987.8043,1,-0.061471
973056,2.875622656,-4.002194856,102037.232,0.925526537,-0.061471
973056,2.272612636,-1.616211645,101941.27,0.668373483,-0.061471
973056,2.512164562,-1.33995521,102054.1097,0.654728369,-0.061471
973056,2.516294768,-2.040774167,102113.1817,0.624853823,-0.061471
973056,3.502037174,-5.85165899,102093.8929,0.582631894,-0.061471
973056,2.608536026,-1.037527113,102002.271,0.46780441,-0.061471
973056,2.229933845,-2.453704838,101943.44,0.445078097,-0.061471
973056,2.718674843,-4.210114173,101989.7332,0.424268478,-0.061471
973056,2.845334481,-3.155977776,102170.8071,0.40302331,-0.061471
973056,2.600275615,-1.611849702,101897.8702,0.315545264,-0.061471
973056,2.362100425,-2.417355307,101899.5579,0.306709763,-0.061471
973056,2.94032921,-5.665549392,102040.1253,0.255047385,-0.061471
973056,3.387768152,-6.686244221,102157.546,0.228715459,-0.061471
973056,2.879752861,-1.020079338,101953.0844,0.179782517,-0.061471
973056,2.603029085,-3.627067697,102233.2547,0.102612387,-0.061471
973056,2.710414431,-3.028027427,101851.577,0.067415409,-0.061471
973056,3.386391417,-1.004085544,102146.6961,0.056911339,-0.061471
973056,2.980254531,-1.120404043,102204.8037,0.042484737,-0.061471
973056,3.109667641,-7.032291755,102100.8851,0,-0.061471
973062,2.441951067,-0.915392689,102017.702,1,-0.38067
973062,3.123434993,-2.213797934,102039.402,0.925526537,-0.38067
973062,2.977501061,-0.733645034,101993.1088,0.668373483,-0.38067
973062,2.169357496,-0.803436134,102089.794,0.654728369,-0.38067
973062,2.238194256,-1.21055088,102128.1306,0.624853823,-0.38067
973062,3.992154906,-3.401700605,102070.2641,0.582631894,-0.38067
973062,2.695270344,-0.748184847,102056.2797,0.46780441,-0.38067
973062,3.536455554,-0.59987876,101947.0567,0.445078097,-0.38067
973062,3.971503878,-1.888106137,101965.8633,0.424268478,-0.38067
973062,2.656721758,-1.936087518,102163.3327,0.40302331,-0.38067
973062,2.753093223,-0.767086603,101966.5866,0.315545264,-0.38067
973062,3.33958242,-0.464658505,101929.9378,0.306709763,-0.38067
973062,4.132581897,-3.062922977,101992.6265,0.255047385,-0.38067
973062,4.546979194,-4.01818865,102108.6006,0.228715459,-0.38067
973062,3.156476637,-1.0229873,102017.2198,0.179782517,-0.38067
973062,2.892143478,-2.306852733,102202.3926,0.102612387,-0.38067
973062,3.122058257,-1.123312006,101906.5501,0.067415409,-0.38067
973062,2.980254531,-0.855779458,102170.3249,0.056911339,-0.38067
973062,2.630563789,-0.771448546,102211.7959,0.042484737,-0.38067
973062,4.902176876,-4.061808087,102028.0698,0,-0.38067
973068,2.899027154,-0.021194228,102015.7731,1,-0.14621
973068,3.762240127,-1.062244794,102028.552,0.925526537,-0.14621
973068,3.37675427,0.300135626,102008.5398,0.668373483,-0.14621
973068,3.331322008,0.332123213,102112.4584,0.654728369,-0.14621
973068,3.329945273,0.319037382,102130.3006,0.624853823,-0.14621
973068,4.571760427,-1.681640801,102045.6708,0.582631894,-0.14621
973068,3.624566607,0.423724031,102100.4029,0.46780441,-0.14621
973068,2.362100425,-0.327984269,101927.7678,0.445078097,-0.14621
973068,3.233573809,-1.574046189,101942.2345,0.424268478,-0.14621
973068,3.573627404,0.068952609,102148.8661,0.40302331,-0.14621
973068,4.260618271,0.707250372,102002.7532,0.315545264,-0.14621
973068,3.524064937,0.263786095,101921.499,0.306709763,-0.14621
973068,3.930201822,-2.519133994,101961.0411,0.255047385,-0.14621
973068,5.174770447,-2.078577679,102070.023,0.228715459,-0.14621
973068,3.766370333,0.278325907,102086.1774,0.179782517,-0.14621
973068,3.798035243,-0.16513837,102172.2538,0.102612387,-0.14621
973068,4.531835106,0.441171806,101913.3012,0.067415409,-0.14621
973068,3.789774831,0.284141832,102216.8592,0.056911339,-0.14621
973068,3.663115193,0.649091123,102237.8358,0.042484737,-0.14621
973068,4.614439219,-3.106542414,101982.741,0,-0.14621
973074,2.503904151,0.583661967,101898.1113,1,-0.35087
973074,3.335452214,-0.045911909,101907.2735,0.925526537,-0.35087
973074,2.648461347,0.983506807,101889.6724,0.668373483,-0.35087
973074,2.663605434,1.120181044,102011.9154,0.654728369,-0.35087
973074,2.714544637,1.096917344,102016.7376,0.624853823,-0.35087
973074,4.208302333,-0.506823961,101915.7123,0.582631894,-0.35087
973074,2.852218157,1.29175083,102003.9587,0.46780441,-0.35087
973074,2.404779216,0.298681645,101797.3271,0.445078097,-0.35087
973074,3.318931392,-0.349793987,101809.1415,0.424268478,-0.35087
973074,3.178504401,0.825022853,102020.1131,0.40302331,-0.35087
973074,3.021556587,1.373173779,101881.9569,0.315545264,-0.35087
973074,3.022933323,0.803213134,101785.2716,0.306709763,-0.35087
973074,4.348729324,-0.554805342,101820.2326,0.255047385,-0.35087
973074,4.58828125,-1.146575706,101926.0801,0.228715459,-0.35087
973074,2.927938594,1.248131393,101995.5199,0.179782517,-0.35087
973074,3.281759541,0.297227663,102026.6231,0.102612387,-0.35087
973074,4.865005026,1.349910079,101770.3228,0.067415409,-0.35087
973074,3.000905559,1.618896608,102133.6761,0.056911339,-0.35087
